"unique_row","study_ID","short_cite","long_cite","peer_reviewed","coder","expt_unique","same_sample","task_type","participant_design","native_language","group_name_1","group_name_2","n_1","n_2","feature","unit","x_1","x_2","SD_1","SD_2","expt_num","expt_condition","n_1_M","n_2_M","n_1_F","n_2_F","mean_age_1","mean_age_2","sd_age_1","sd_age_2","mean_education_1","mean_education_2","sd_education_1","sd_education_2","mean_total_task_duration_1","mean_total_task_duration_2","sd_total_task_duration_1","sd_total_task_duration_2","task_type_specification","native_language_specification","diagnosis_specification","feature_specification","prosody_type","notes","dataset","short_name","domain","d_calc","d_var_calc","g_calc","g_var_calc","r_calc","r_var_calc","z_calc","z_var_calc","log_odds_calc","log_odds_var_calc","es_method","mean_age","n","same_sample_calc","all_mod"
"1","Emmorey1987","Emmorey (1987)","Emmorey, K. D. (1987). The neurological substrates for prosodic aspects of speech. Brain and Language, 30(2), 305-320.","yes","LNJ, ND","Emmorey (1987)","A","constrained","between",NA,"RHD","HC",7,22,"pitch_f0_variability","Mean pitch difference between noun compounds and noun phrases",22,36,17,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",-0.45106563559249,0.191819622925696,-0.438054126873476,0.180912719440184,-0.189521717294806,0.031474513841358,-0.191841020596689,0.25,-0.818142563065561,0.631061264880917,"between",NA,14.5,"Emmorey1987 A",""
"2","Ryalls1987","Ryalls et al. (1987)","Ryalls, J., Joanette, Y., & Feldman, L. (1987). An acoustic comparison of normal and righthemisphere-damaged speech prosody. Cortex, 23(4), 685-694.","yes","LNJ, ND","Ryalls et al. (1987)","B","constrained","between","French","RHD","HC",19,9,"pitch_f0_variability","F0 range (adjusted to remove extreme values greater than 2 SDs)",35.4,36.9,9.9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",-0.160315174294258,0.164201635685426,-0.155505719065431,0.154497319016417,-0.0746622018886519,0.0352187839740013,-0.0748014011922171,0.0625,-0.290779561212023,0.540201728742317,"between",NA,14,"Ryalls1987 B",""
"3","Behrens1988","Behrens (1988)","Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.","yes","LNJ, ND","Behrens (1988)","C","constrained","between",NA,"RHD","HC",8,7,"pitch_f0","Mean F0 in Hz",124.875,102.2857143,22.27386361,10.9805022,NA,"1st syll stress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",1.25730523849954,0.320551024949089,1.17872366109332,0.28173429927166,0.531371368917603,0.0294870077239977,0.592054154542282,0.2,2.28049944223881,1.05457060220374,"between",NA,7.5,"Behrens1988 C",""
"4","Behrens1988","Behrens (1988)","Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.","yes","LNJ, ND","Behrens (1988).1","C","constrained","between",NA,"RHD","HC",8,7,"pitch_f0","Mean F0 in Hz",105,86.14285714,13.22335596,7.690439334,NA,"2nd syll unstress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",1.71110298651774,0.365452923872807,1.60415904986038,0.321198858872584,0.649257810500918,0.0176062402722822,0.774014601573224,0.2,3.10359750908515,1.20229192861534,"between",NA,7.5,"Behrens1988 C",""
"5","Behrens1988","Behrens (1988)","Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.","yes","LNJ, ND","Behrens (1988).2","C","constrained","between",NA,"RHD","HC",8,7,"pitch_f0","Mean F0 in Hz",128.25,103.7142857,23.00155274,12.47282761,NA,"1st syll unstress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",1.29913768004291,0.324115766580719,1.21794157504023,0.284867372971335,0.543881034620916,0.0281696567483906,0.609650506511115,0.2,2.35637509811455,1.06629813210251,"between",NA,7.5,"Behrens1988 C",""
"6","Behrens1988","Behrens (1988)","Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.","yes","LNJ, ND","Behrens (1988).3","C","constrained","between",NA,"RHD","HC",8,7,"pitch_f0","Mean F0 in Hz",111.375,92.85714286,17.22902451,12.04752494,NA,"2nd syll stress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",1.22954589329701,0.318249912981261,1.15269927496595,0.279711837581186,0.522873106526246,0.0303855179382878,0.580285775877457,0.2,2.23014955955891,1.04700024726872,"between",NA,7.5,"Behrens1988 C",""
"7","Behrens1989","Behrens (1989)","Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.","yes","LNJ, ND","Behrens (1989)","C","constrained","between","English","RHD","HC",8,7,"pitch_f0_variability","Variation of pitch contour",9.75,10,3.918819064,1.414213562,NA,"declaritives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",-0.0824570383932411,0.268083781629829,-0.0773034734936636,0.235620511198092,-0.0411020357639951,0.066385484148068,-0.0411252048693535,0.2,-0.149560523814297,0.881960290344813,"between",NA,7.5,"Behrens1989 C",""
"8","Behrens1989","Behrens (1989)","Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.","yes","LNJ, ND","Behrens (1989).1","C","constrained","between","English","RHD","HC",8,7,"pitch_f0","Slope of pitch contour",-0.33375,-0.675714286,0.302226854,0.164403684,NA,"declaritives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",1.37716095204637,0.331076219118518,1.29108839254347,0.290984958209635,0.566276153109251,0.0258332118984807,0.642024084947651,0.2,2.49789365926989,1.08919710310272,"between",NA,7.5,"Behrens1989 C",""
"9","Behrens1989","Behrens (1989)","Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.","yes","LNJ, ND","Behrens (1989).2","C","constrained","between","English","RHD","HC",8,7,"pitch_f0","Linearity of pitch contour",0.19125,0.478571429,0.159143915,0.205055161,NA,"declaritives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",-1.58059679609416,0.35113335058458,-1.48180949633828,0.308613296412229,-0.61919263434113,0.0204875095153124,-0.723694642405841,0.2,-2.86688546386623,1.15518242076628,"between",NA,7.5,"Behrens1989 C",""
"10","Behrens1989","Behrens (1989)","Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.","yes","LNJ, ND","Behrens (1989).3","C","constrained","between","English","RHD","HC",8,7,"pitch_f0_variability","Variation of pitch contour",11.25,13.28571429,3.412163118,2.360387377,NA,"imperatives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linguistic",NA,"Acoustic Measures of Prosody in Right-Hemisphere Damage: A Systematic Review and Meta-Analysis","rhd_weed_2020","Right_Hemisphere_Damage",-0.684659277091653,0.283482420380732,-0.641868072273424,0.249154471037752,-0.323232538183123,0.0506708939537278,-0.335252591933912,0.2,-1.2418345615059,0.932619781273711,"between",NA,7.5,"Behrens1989 C",""
