"unique_row","study_ID","short_cite","long_cite","peer_reviewed","coder","expt_unique","same_sample","task_type","participant_design","native_language","group_name_1","group_name_2","n_1","n_2","feature","unit","x_1","x_2","SD_1","SD_2","expt_num","expt_condition","n_1_M","n_2_M","n_1_F","n_2_F","mean_age_1","mean_age_2","sd_age_1","sd_age_2","mean_education_1","mean_education_2","sd_education_1","sd_education_2","mean_total_task_duration_1","mean_total_task_duration_2","sd_total_task_duration_1","sd_total_task_duration_2","task_type_specification","native_language_specification","diagnosis_specification","feature_specification","prosody_type","notes","dataset","short_name","domain","d_calc","d_var_calc","g_calc","g_var_calc","r_calc","r_var_calc","z_calc","z_var_calc","log_odds_calc","log_odds_var_calc","es_method","mean_age","n","same_sample_calc","all_mod"
"1","Sharda2010","Sharda, et al. (2010)","Sharda, M., Subhadra, T.P., Sahay, S., Nagaraja, C., Singh, L., Mishra, R., ... Singh, N.C. (2010). Sounds of melody–pitch patterns of speech in autism. Neuroscience Letters, 478, 42–45.","yes","LNJ, ND","Sharda, et al. (2010)","A","social interaction","between","English","ASD","HC",15,10,"pitch","Hz",358.8,275.4,61.7,22.5,NA,NA,10,8,5,2,75.20004,87.6,17.09268,22.8,NA,NA,NA,NA,NA,NA,NA,NA,"social interaction","Hindi-English","ASD",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",1.66290758751483,0.221971899558955,1.60621755612228,0.207095425402046,0.631598490778974,0.0115694663471673,0.744071040692274,0.0833333333333333,3.01618072501466,0.730258278935075,"between",80.160024,12.5,"Sharda2010 A",""
"2","Filipe2014","Filipe, et al. (2014)","Filipe, M.G., Frota, S., Castro, S.L., & Vicente, S.G. (2014). Atypical prosody in Asperger syndrome: Perceptual and acoustic measurements. Journal of Autism and Develop- mental Disorders, 44, 1972–1981.","yes","LNJ, ND","Filipe, et al. (2014)","B","spontaneous","between","Portuguese","ASD","HC",12,17,"pitch","Hz",243.3,224.33,24.23,25.81,NA,NA,10,10,2,7,102.96,100.2,6.12,5.88,NA,NA,NA,NA,NA,NA,NA,NA,"lexical elicitation statement","Portuguese","Aspergers",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.753427526933492,0.151943984095807,0.731694040579642,0.14330441769243,0.347893013282193,0.0250288276549662,0.363044641398924,0.111111111111111,1.36656636934853,0.499875671383676,"between",101.342068965517,14.5,"Filipe2014 B",""
"3","Filipe2014","Filipe, et al. (2014)","Filipe, M.G., Frota, S., Castro, S.L., & Vicente, S.G. (2014). Atypical prosody in Asperger syndrome: Perceptual and acoustic measurements. Journal of Autism and Develop- mental Disorders, 44, 1972–1981.","yes","LNJ, ND","Filipe, et al. (2014).1","B","spontaneous","between","Portuguese","ASD","HC",12,17,"pitch","Hz",286.14,261.14,22.15,31.36,NA,NA,10,10,2,7,102.96,100.2,6.12,5.88,NA,NA,NA,NA,NA,NA,NA,NA,"lexical elicitation question","Portuguese","Aspergers",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.893616475899674,0.155924973193363,0.867839077556414,0.147059046925434,0.40282841507537,0.0222362176374408,0.427020644999791,0.111111111111111,1.62084099585605,0.512972600556318,"between",101.342068965517,14.5,"Filipe2014 B",""
"4","Diehl2009","Diehl, et al. (2009)","Diehl, J.J., Watson, D.G., Bennetto, L., McDonough, J., & Gunlogson, C. (2009). An acoustic analysis of prosody in high-functioning autism. Applied Psycholinguistics, 30, 385–404.","yes","LNJ, ND","Diehl, et al. (2009)","C","spontaneous","between","English","ASD","HC",21,21,"pitch","Hz",189.95,173.57,35.11,42.25,NA,NA,19,19,2,2,162.96,158.88,25.2,25.08,NA,NA,NA,NA,NA,NA,NA,NA,"narrative elicitation","American English","HFA",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.421682420231599,0.0973549531372902,0.413573142919453,0.0936465359134955,0.206305515168148,0.0213614184979085,0.209309533569929,0.0555555555555556,0.764847305724821,0.320284957983883,"between",160.92,21,"Diehl2009 C",""
"5","Diehl2009","Diehl, et al. (2009)","Diehl, J.J., Watson, D.G., Bennetto, L., McDonough, J., & Gunlogson, C. (2009). An acoustic analysis of prosody in high-functioning autism. Applied Psycholinguistics, 30, 385–404.","yes","LNJ, ND","Diehl, et al. (2009).1","D","spontaneous","between","English","ASD","HC",17,17,"pitch","Hz",212.25,207.84,36.48,34.93,NA,NA,13,12,4,5,105.72,113.88,25.56,26.64,NA,NA,NA,NA,NA,NA,NA,NA,"narrative elicitation","American English","HFA",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.123483027989151,0.11787129497355,0.120495535376511,0.112236838560597,0.0616241696022487,0.0291333814562745,0.061702354540221,0.0714285714285714,0.223973437660439,0.387781017211015,"between",109.8,17,"Diehl2009 D",""
"6","Scharfstein2011","Scharfstein, et al. (2011)","Scharfstein, L.A., Beidel, D.C., Sims, V.K., & Finnell, L.R. (2011). Social skills deficits and vocal characteristics of children with social phobia or Asperger’s disorder: A comparative study. Journal of Abnormal Child psychology, 39, 865–875.","yes","LNJ, ND","Scharfstein, et al. (2011)","E","social interaction","between","English","ASD","HC",30,30,"pitch","Hz",282.94,293.19,28.8,27.1,NA,NA,26,22,4,8,126.84,127.2,19.2,24,NA,NA,NA,NA,NA,NA,NA,NA,"social interaction","American English","Aspergers",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",-0.36655682994881,0.0677863659131843,-0.361733713765273,0.0660142500453016,-0.180275606597732,0.0153474501580751,-0.182267538472922,0.037037037037037,-0.664860545116862,0.223008205116873,"between",127.02,30,"Scharfstein2011 E",""
"7","Grossmann2010","Grossman, et al. (2010)","Grossman, R.B., Bemis, R.H., Skwerer, D.P., & Tager-Flusberg, H. (2010). Lexical and affective prosody in children with high-functioning autism. Journal of Speech, Language, and Hearing Research, 53, 778–793.","yes","LNJ, ND","Grossman, et al. (2010)","K","spontaneous","between","English","ASD","HC",11,9,"pitch","Hz",190.89,155.82,57.87,47.51,NA,NA,11,9,0,0,147.6,150.96,27,36.96,NA,NA,NA,NA,NA,NA,NA,NA,"lexical elicitation","American English","HFA",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.655345691114585,0.212757151391763,0.62643338121247,0.194398565015182,0.309971966382284,0.0388906839365805,0.320514395530287,0.125,1.18866559789727,0.699942972579794,"between",149.112,10,"Grossmann2010 K",""
"8","Bonneh2011","Bonneh, et al. (2011)","Bonneh, Y.S., Levanon, Y., Dean-Pardo, O., Lossos, L., & Adini, Y. (2011). Abnormal speech spectrum and increased pitch variability in young autistic children. Frontiers in Human Neuroscience, 4, 237.","yes","LNJ, ND","Bonneh, et al. (2011)","L","spontaneous","between","Hebrew","ASD","HC",41,42,"pitch","Hz",243,236,51,40,NA,NA,33,17,8,25,60,61.2,13.2,8.4,NA,NA,NA,NA,NA,NA,NA,NA,"lexical elicitation","Hebrew","HFA",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.152959486709366,0.0483407111130134,0.151525491521466,0.0474385714749571,0.0762515463056413,0.0118738767236806,0.0763998470884838,0.0263157894736842,0.277437819747041,0.159034565050929,"between",60.6072289156626,41.5,"Bonneh2011 L",""
"9","Nadig2012","Nadig & Shaw (2012)","Nadig, A., & Shaw, H. (2012). Acoustic and perceptual measurement of expressive prosody in high-functioning autism: Increased pitch range and what it means to listeners. Journal of Autism and Development Disorders, 42, 499–511.","yes","LNJ, ND","Nadig & Shaw (2012)","N","social interaction","between","English","ASD","HC",15,13,"pitch","Hz",225.43,214.99,17.21,16.69,NA,NA,13,11,2,2,132,132,18.96,24,NA,NA,NA,NA,NA,NA,NA,NA,"social interaction","Canadian English","HFA",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.615131534022062,0.150346650806678,0.5966775880014,0.141461163744003,0.293289128521291,0.0285512090509895,0.302161166682938,0.0833333333333333,1.11572518532963,0.494620655496878,"between",132,14,"Nadig2012 N",""
"10","Nadig2012","Nadig & Shaw (2012)","Nadig, A., & Shaw, H. (2012). Acoustic and perceptual measurement of expressive prosody in high-functioning autism: Increased pitch range and what it means to listeners. Journal of Autism and Development Disorders, 42, 499–511.","yes","LNJ, ND","Nadig & Shaw (2012).1","O","spontaneous","between","English","ASD","HC",15,11,"pitch","Hz",247.23,236.21,25.45,16.8,NA,NA,12,9,3,2,126,128.04,16.8,22.8,NA,NA,NA,NA,NA,NA,NA,NA,"description elicitation","Canadian English","HFA",NA,NA,NA,"Is voice a marker for Autism spectrum disorder? A systematic review and meta-analysis","asd_fusaroli_2017","Autism_Spectrum_Disorder",0.495098939751787,0.162289660655437,0.478954409107707,0.151878119335033,0.237597820722316,0.0332750790107104,0.242226663793624,0.0833333333333333,0.898010142154827,0.533911583018734,"between",126.863076923077,13,"Nadig2012 O",""
