"unique_row","study_ID","long_cite","short_cite","peer_reviewed","coder","expt_num","expt_condition","same_infant","response_mode","exposure_phase","method","dependent_measure","participant_design","native_lang","infant_type","group_name_1","group_name_2","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","SD_1","SD_2","t","F","r","d","d_var","corr","test_lang","stimuli_link","data_link","age_range_1","age_range_2","n_excluded_1","n_excluded_2","gender_1","gender_2","num_trials","special_cases_measures","x_dif","SD_dif","contrast_sampa","audio_condition","speaker","speech_type","object_stimulus","cue_type","N_AFC","mean_comprehension_vocab","mean_production_vocab","pointing_modality","motive","correlation_type","condition_type","stimulus_naturalness","contrast_pseudoIPA","sampa_comments","counterbalanced","backness","height","nasality","roundness","tenseness","length","F1_1","F2_1","F1_2","F2_2","duration_word_1","duration_word_2","duration_vowel_1","duration_vowel_2","peripherality","Linguistic","words_to_passage","edge_alignment","familiarization_voice","familiarization_register","familiarization_affect","test_voice","test_register","indexical","rule.type","repetitions","types","tokens","expt_condition2","word_round","word_spiky","multiple_age_groups_younger_older","replication","native","label_present","instruction_code","taxonomic_type","tokens_per_trial","word_types_per_cond","publication_type","main_or_baseline_study","Modality","Semantics","TrainingRule","Speech","Nonspeech","CorrectPronunciation","Mispronunciation","is_correct","n_feature","type_feature","mispron_location","scenarios","Hamlin_Lab","stimuli_type","corr_imputed","dataset","short_name","domain","d_calc","d_var_calc","g_calc","g_var_calc","r_calc","r_var_calc","z_calc","z_var_calc","log_odds_calc","log_odds_var_calc","es_method","mean_age","n","same_infant_calc"
"1","AslinSaffranNewport1998","Aslin, R. N., Saffran, J. R., & Newport, E. L. (1998). Computation of conditional probability statistics by 8-month-old infants. Psychological science, 9(4), 321-324.","Aslin, Saffran, & Newport (1998)","yes","SK/AKB",1,"frequency balanced","1","behavior","familiarization","head-turn preference procedure","looking_time","within_two","American English","typical",NA,NA,30,NA,243.52,NA,6.78,7.36,1.971801207,2.300434742,-2.1,NA,NA,NA,NA,0.76,"native",NA,NA,30.44,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"artificial",0.76,"Statistical word segmentation","statSeg","early_language",-0.270720816214048,0.0172214960055267,-0.263469365779744,0.0163112718464335,-0.134137126319495,0.00407713358929298,-0.134950424056316,0.037037037037037,-0.49103324433401,0.056656450923163,"group_means_two",243.52,30,"AslinSaffranNewport1998 1"
"2","EricksonThiessenGrafEstes2014","Erickson, L. C., Thiessen, E. D., & Estes, K. G. (2014). Statistically coherent labels facilitate categorization in 8-month-olds. Journal of Memory and Language, 72, 49-58.","Erickson, Thiessen, & Graf-Estes (2014)","yes","AKB",1,NA,"1","eye-tracking","familiarization","central fixation","looking_time","between","American English","typical","words","partwords",18,18,248.3904,8.16,0.83,0.73,0.14,0.14,2.3,NA,NA,7.4,NA,0.13,"native",NA,NA,18.264,NA,16,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"artificial",0.13,"Statistical word segmentation","statSeg","early_language",0.714285714285714,0.118197278911565,0.698051948051948,0.112885727638163,0.336336396998156,0.0206128897404429,0.349955858723539,0.0666666666666667,1.29557097445301,0.388853461380788,"between",128.2752,18,"EricksonThiessenGrafEstes2014 1"
"3","FrenchAddymanMareschal2011","French, R. M., Addyman, C., & Mareschal, D. (2011). TRACX: a recognition-based connectionist framework for sequence segmentation and chunk extraction. Psychological review, 118(4), 614.","French, Addyman, & Mareschal (2011)","yes","AKB",1,"rep","1","behavior","familiarization","head-turn preference procedure","looking_time","within_two","British English","typical",NA,NA,13,NA,249,NA,10.7,12.6,3.72,3.67,-2.57,NA,NA,NA,NA,0.74,"native",NA,NA,45,NA,NA,NA,0.4615384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"artificial",0.74,"Statistical word segmentation","statSeg","early_language",-0.51419662055808,0.0501691601766673,-0.479137760065484,0.043561135463315,-0.24900057164665,0.0103510300755577,-0.25434703861286,0.1,-0.93264950345963,0.165049921359531,"group_means_two",249,13,"FrenchAddymanMareschal2011 1"
"4","FrenchAddymanMareschal2011","French, R. M., Addyman, C., & Mareschal, D. (2011). TRACX: a recognition-based connectionist framework for sequence segmentation and chunk extraction. Psychological review, 118(4), 614.","French, Addyman, & Mareschal (2011)","yes","AKB",2,"BW_TP","1","behavior","familiarization","head-turn preference procedure","looking_time","within_two","British English","typical",NA,NA,20,NA,251,NA,9.4,12.2,2.89,2.92,-4.62,NA,NA,NA,NA,0.56,"native",NA,NA,53,NA,11,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"artificial",0.56,"Statistical word segmentation","statSeg","early_language",-0.963842572860407,0.0672248126314542,-0.92368246565789,0.0617394546563182,-0.434137225330953,0.00898204258370565,-0.46498355472423,0.0588235294117647,-1.74821704587608,0.221160768869936,"group_means_two",251,20,"FrenchAddymanMareschal2011 1"
"5","Graf-EstesLewWilliams2015","Graf Estes, K. , & Lew-Williams, C. (2015). Listening through voices: Infant statistical word segmentation across multiple speakers. Developmental psychology, 51(11), 1517.","Graf Estes & Lew-Williams (2015)","yes","AKB",1,"Eight voices Younger; consistent gender test","1","eye-tracking","familiarization","central fixation","looking_time","within_two","American English","typical",NA,NA,25,NA,252.652,NA,NA,NA,NA,NA,2.96,NA,NA,0.4,NA,NA,"native",NA,NA,30.44,NA,10,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natural",0.6076167643,"Statistical word segmentation","statSeg","early_language",0.524435312152728,0.0368913067886546,0.507334160669487,0.0345245795218494,0.253642614720256,0.00755484905157882,0.259302065055655,0.0454545454545455,0.951220435764592,0.121367534614414,"t_two",252.652,25,"Graf-EstesLewWilliams2015 1"
"6","Graf-EstesLewWilliams2015","Graf Estes, K. , & Lew-Williams, C. (2015). Listening through voices: Infant statistical word segmentation across multiple speakers. Developmental psychology, 51(11), 1517.","Graf Estes & Lew-Williams (2015)","yes","AKB",1,"Eight voices Younger; consistent gender test","1","eye-tracking","familiarization","central fixation","looking_time","within_two","American English","typical",NA,NA,25,NA,252.652,NA,NA,NA,NA,NA,-1.34,NA,NA,0.21,NA,NA,"native",NA,NA,30.44,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natural",0.760952381,"Statistical word segmentation","statSeg","early_language",-0.185307075887868,0.0198105837674822,-0.179264453848046,0.0185396543031932,-0.0922583799609126,0.00482725435557473,-0.0925214806621392,0.0454545454545455,-0.336109856433517,0.065174208246564,"t_two",252.652,25,"Graf-EstesLewWilliams2015 1"
"7","Graf-EstesLewWilliams2015","Graf Estes, K. , & Lew-Williams, C. (2015). Listening through voices: Infant statistical word segmentation across multiple speakers. Developmental psychology, 51(11), 1517.","Graf Estes & Lew-Williams (2015)","yes","AKB",1,"Eight Voices Older;  consistent gender test","2","eye-tracking","familiarization","central fixation","looking_time","within_two","American English","typical",NA,NA,25,NA,328.752,NA,NA,NA,NA,NA,2.22,NA,NA,0.41,NA,NA,"native",NA,NA,21.308,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natural",0.828,"Statistical word segmentation","statSeg","early_language",0.260412718583406,0.01511629568,0.251920999499164,0.0141465238753875,0.129116458742292,0.00359320379590979,0.129841224986526,0.0454545454545455,0.472336423405085,0.0497306194571654,"t_two",328.752,25,"Graf-EstesLewWilliams2015 2"
"8","Graf-EstesLewWilliams2015","Graf Estes, K. , & Lew-Williams, C. (2015). Listening through voices: Infant statistical word segmentation across multiple speakers. Developmental psychology, 51(11), 1517.","Graf Estes & Lew-Williams (2015)","yes","AKB",1,"Eight Voices Older;  consistent gender test","2","eye-tracking","familiarization","central fixation","looking_time","within_two","American English","typical",NA,NA,25,NA,328.752,NA,NA,NA,NA,NA,-0.973,NA,NA,0.16,NA,NA,"native",NA,NA,21.308,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natural",0.8224394297,"Statistical word segmentation","statSeg","early_language",-0.115966112691441,0.0144738084098553,-0.11218460901672,0.0135452547748657,-0.0578858309063401,0.00358220005058122,-0.0579506152267067,0.0454545454545455,-0.210339261472449,0.0476169210608106,"t_two",328.752,25,"Graf-EstesLewWilliams2015 2"
"9","Graf-EstesLewWilliams2015","Graf Estes, K. , & Lew-Williams, C. (2015). Listening through voices: Infant statistical word segmentation across multiple speakers. Developmental psychology, 51(11), 1517.","Graf Estes & Lew-Williams (2015)","yes","AKB",2,"Eight voices; inconsistent gender test voice","1","eye-tracking","familiarization","central fixation","looking_time","within_two","American English","typical",NA,NA,24,NA,246.564,NA,10.28,9.52,3.38,3.14,NA,NA,NA,NA,NA,NA,"native",NA,NA,27.396,NA,10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natural",0.828,"Statistical word segmentation","statSeg","early_language",0.232971054257351,0.0154640731692038,0.22502885922585,0.0144276767365053,0.115703190801467,0.00371282178648748,0.116223693104575,0.0476190476190476,0.422562750096959,0.0508747615365139,"group_means_two",246.564,24,"Graf-EstesLewWilliams2015 1"
"10","Graf-EstesLewWilliams2015","Graf Estes, K. , & Lew-Williams, C. (2015). Listening through voices: Infant statistical word segmentation across multiple speakers. Developmental psychology, 51(11), 1517.","Graf Estes & Lew-Williams (2015)","yes","AKB",2,"Eight voices; inconsistent gender test voice","1","eye-tracking","familiarization","central fixation","looking_time","within_two","American English","typical",NA,NA,24,NA,246.564,NA,NA,NA,NA,NA,-2.52,NA,NA,0.35,NA,NA,"native",NA,NA,27.396,NA,10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natural",0.7273646898,"Statistical word segmentation","statSeg","early_language",-0.379840237676105,0.0257254134782883,-0.36689113866442,0.024001305834276,-0.186584901270717,0.00578276461315317,-0.188796536794861,0.0476190476190476,-0.688953981607494,0.084633218028386,"t_two",246.564,24,"Graf-EstesLewWilliams2015 1"
