"unique_row","study_ID","long_cite","short_cite","peer_reviewed","coder","expt_num","expt_condition","same_infant","response_mode","exposure_phase","method","dependent_measure","participant_design","native_lang","infant_type","group_name_1","group_name_2","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","SD_1","SD_2","t","F","r","d","d_var","corr","test_lang","stimuli_link","data_link","age_range_1","age_range_2","n_excluded_1","n_excluded_2","gender_1","gender_2","num_trials","special_cases_measures","x_dif","SD_dif","contrast_sampa","audio_condition","speaker","speech_type","object_stimulus","cue_type","N_AFC","mean_comprehension_vocab","mean_production_vocab","pointing_modality","motive","correlation_type","condition_type","stimulus_naturalness","contrast_pseudoIPA","sampa_comments","counterbalanced","backness","height","nasality","roundness","tenseness","length","F1_1","F2_1","F1_2","F2_2","duration_word_1","duration_word_2","duration_vowel_1","duration_vowel_2","peripherality","Linguistic","words_to_passage","edge_alignment","familiarization_voice","familiarization_register","familiarization_affect","test_voice","test_register","indexical","rule.type","repetitions","types","tokens","expt_condition2","word_round","word_spiky","multiple_age_groups_younger_older","replication","native","label_present","instruction_code","taxonomic_type","tokens_per_trial","word_types_per_cond","publication_type","main_or_baseline_study","Modality","Semantics","TrainingRule","Speech","Nonspeech","CorrectPronunciation","Mispronunciation","is_correct","n_feature","type_feature","mispron_location","scenarios","Hamlin_Lab","stimuli_type","corr_imputed","dataset","short_name","domain","d_calc","d_var_calc","g_calc","g_var_calc","r_calc","r_var_calc","z_calc","z_var_calc","log_odds_calc","log_odds_var_calc","es_method","mean_age","n","same_infant_calc"
"1","1","Zesiger, P., Lozeron, E. D., Levy, A., & Frauenfelder, U. H. (2012). Phonological Specificity in 12‐and 17‐Month‐Old French‐Speaking Infants. Infancy, 17(6), 591-609.","Zesiger et al. (2012)","yes","Bergmann",1,"correct","12mos","eye-tracking","test_only","looking while listening","looking_time_change_pc","within_one","Swiss French","typical",NA,NA,23,NA,377.28,NA,8.737,0,2.677,NA,2.94,NA,NA,NA,NA,NA,"native",NA,NA,64.88,NA,6,NA,0.391304348,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,"0","consonant","onset",NA,NA,NA,0.5814159843,"Mispronunciation sensitivity","MPs","early_language",3.26372805379156,0.275041756719696,3.14716633758472,0.255746735521248,0.852641924540582,0.00139905545040656,1.26575122719016,0.05,5.91974786900051,0.904851110868021,"group_means_one",377.28,23,"1 12mos"
"2","1","Zesiger, P., Lozeron, E. D., Levy, A., & Frauenfelder, U. H. (2012). Phonological Specificity in 12‐and 17‐Month‐Old French‐Speaking Infants. Infancy, 17(6), 591-609.","Zesiger et al. (2012)","yes","Bergmann",1,"1off","12mos","eye-tracking","test_only","looking while listening","looking_time_change_pc","within_one","Swiss French","typical",NA,NA,23,NA,377.28,NA,-0.5,0,2.93,NA,-0.78,NA,NA,NA,NA,NA,"native",NA,NA,64.88,NA,6,NA,0.391304348,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"1","consonant","onset",NA,NA,NA,0.2,"Mispronunciation sensitivity","MPs","early_language",-0.170648464163823,0.0441113238765537,-0.164553876157972,0.0410167794719486,-0.0850153279451075,0.0107904405791725,-0.0852210398652449,0.05,-0.309522075807887,0.145120438756638,"group_means_one",377.28,23,"1 12mos"
"3","1","Zesiger, P., Lozeron, E. D., Levy, A., & Frauenfelder, U. H. (2012). Phonological Specificity in 12‐and 17‐Month‐Old French‐Speaking Infants. Infancy, 17(6), 591-609.","Zesiger et al. (2012)","yes","Bergmann",1,"2off","12mos","eye-tracking","test_only","looking while listening","looking_time_change_pc","within_one","Swiss French","typical",NA,NA,23,NA,377.28,NA,-2.575,0,3.132,NA,-0.98,NA,NA,NA,NA,NA,"native",NA,NA,64.88,NA,6,NA,0.391304348,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"2","consonant","onset",NA,NA,NA,0.2424115106,"Mispronunciation sensitivity","MPs","early_language",-0.822158365261814,0.0581727038602169,-0.792795566502463,0.054091710604717,-0.380207615784985,0.00910397850570696,-0.400302327633038,0.05,-1.49123032021172,0.191380524680688,"group_means_one",377.28,23,"1 12mos"
"4","1","Zesiger, P., Lozeron, E. D., Levy, A., & Frauenfelder, U. H. (2012). Phonological Specificity in 12‐and 17‐Month‐Old French‐Speaking Infants. Infancy, 17(6), 591-609.","Zesiger et al. (2012)","yes","Bergmann",1,"correct","17mos","eye-tracking","test_only","looking while listening","looking_time_change_pc","within_one","Swiss French","typical",NA,NA,23,NA,593.48,NA,10.959,0,3.434,NA,2.77,NA,NA,NA,NA,NA,"native",NA,NA,30.42,NA,6,NA,0.47826087,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,"0","consonant","onset",NA,NA,NA,0.5654761395,"Mispronunciation sensitivity","MPs","early_language",3.19132207338381,0.264881229914494,3.07734628504867,0.246299000775084,0.847350442049534,0.00148499746557905,1.24668143733834,0.05,5.78841794777018,0.871424317510018,"group_means_one",593.48,23,"1 17mos"
"5","1","Zesiger, P., Lozeron, E. D., Levy, A., & Frauenfelder, U. H. (2012). Phonological Specificity in 12‐and 17‐Month‐Old French‐Speaking Infants. Infancy, 17(6), 591-609.","Zesiger et al. (2012)","yes","Bergmann",1,"1off","17mos","eye-tracking","test_only","looking while listening","looking_time_change_pc","within_one","Swiss French","typical",NA,NA,23,NA,593.48,NA,3.131,0,4.495,NA,0.81,NA,NA,NA,NA,NA,"native",NA,NA,30.42,NA,6,NA,0.47826087,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"1","consonant","onset",NA,NA,NA,0.1576869023,"Mispronunciation sensitivity","MPs","early_language",0.696551724137931,0.0540257457478157,0.671674876847291,0.0502356742986705,0.328899508662837,0.00958031683284041,0.341593776152101,0.05,1.26340507439763,0.177737579334926,"group_means_one",593.48,23,"1 17mos"
"6","1","Zesiger, P., Lozeron, E. D., Levy, A., & Frauenfelder, U. H. (2012). Phonological Specificity in 12‐and 17‐Month‐Old French‐Speaking Infants. Infancy, 17(6), 591-609.","Zesiger et al. (2012)","yes","Bergmann",1,"2off","17mos","eye-tracking","test_only","looking while listening","looking_time_change_pc","within_one","Swiss French","typical",NA,NA,23,NA,593.48,NA,6.464,0,4.041,NA,1.94,NA,NA,NA,NA,NA,"native",NA,NA,30.42,NA,6,NA,0.47826087,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"2","consonant","onset",NA,NA,NA,0.2666786063,"Mispronunciation sensitivity","MPs","early_language",1.59960405840139,0.0991028944272649,1.54247534202991,0.0921505230069848,0.624600772177962,0.00562013099528504,0.732513659358519,0.05,2.90136082415491,0.326035454333342,"group_means_one",593.48,23,"1 17mos"
"7","2","White, K. S., & Morgan, J. L. (2008). Sub-segmental detail in early lexical representations. Journal of Memory and Language, 59(1), 114-132.","White & Morgan (2008)","yes","Bergmann",1,"correct","1_19mos","eye-tracking","test_only","looking while listening","looking_time_change_pc","within_one","American English","typical",NA,NA,28,NA,575,NA,0.18,0,0.134987312,NA,7.02,NA,NA,NA,NA,NA,"native",NA,NA,NA,NA,13,NA,0.607142857,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,"0","consonant","onset",NA,NA,NA,0.2017431168,"Mispronunciation sensitivity","MPs","early_language",1.33345865869231,0.0674662856150266,1.29499350507618,0.0636301386426485,0.554736290544595,0.00559562906394737,0.625197254997371,0.04,2.41862646736872,0.221955183143739,"group_means_one",575,28,"2 1_19mos"
"8","2","White, K. S., & Morgan, J. L. (2008). Sub-segmental detail in early lexical representations. Journal of Memory and Language, 59(1), 114-132.","White & Morgan (2008)","yes","Bergmann",1,"1off","1_19mos","eye-tracking","test_only","looking while listening","looking_time_change_pc","within_one","American English","typical",NA,NA,28,NA,575,NA,0.08,0,0.175483505,NA,2.52,NA,NA,NA,NA,NA,"native",NA,NA,NA,NA,13,NA,0.607142857,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"1","consonant","onset",NA,NA,NA,0.5130551728,"Mispronunciation sensitivity","MPs","early_language",0.45588330367575,0.0394255283316128,0.442732823762026,0.037183784625627,0.2222412214792,0.00846687358766555,0.226012548191664,0.04,0.82688084637207,0.12970478931232,"group_means_one",575,28,"2 1_19mos"
"9","2","White, K. S., & Morgan, J. L. (2008). Sub-segmental detail in early lexical representations. Journal of Memory and Language, 59(1), 114-132.","White & Morgan (2008)","yes","Bergmann",1,"2off","1_19mos","eye-tracking","test_only","looking while listening","looking_time_change_pc","within_one","American English","typical",NA,NA,28,NA,575,NA,0.04,0,0.202480968,NA,1.06,NA,NA,NA,NA,NA,"native",NA,NA,NA,NA,13,NA,0.607142857,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"2","consonant","onset",NA,NA,NA,0.7009691823,"Mispronunciation sensitivity","MPs","early_language",0.197549430917379,0.0364111746009961,0.191850889640916,0.0343408276724076,0.0982963678451606,0.0088414765041312,0.0986148015511411,0.04,0.358315032202773,0.119787963030275,"group_means_one",575,28,"2 1_19mos"
"10","2","White, K. S., & Morgan, J. L. (2008). Sub-segmental detail in early lexical representations. Journal of Memory and Language, 59(1), 114-132.","White & Morgan (2008)","yes","Bergmann",1,"3off","1_19mos","eye-tracking","test_only","looking while listening","looking_time_change_pc","within_one","American English","typical",NA,NA,28,NA,575,NA,-0.04,0,0.188982237,NA,-1.17,NA,NA,NA,NA,NA,"native",NA,NA,NA,NA,13,NA,0.607142857,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"3","consonant","onset",NA,NA,NA,0.5332790751,"Mispronunciation sensitivity","MPs","early_language",-0.211660104330334,0.0365142857100916,-0.205554524397729,0.0344380758624856,-0.105242336108926,0.00882859582855015,-0.105633491797134,0.04,-0.383908962668109,0.120127184982318,"group_means_one",575,28,"2 1_19mos"
