"unique_row","study_ID","long_cite","short_cite","peer_reviewed","coder","expt_num","expt_condition","same_infant","response_mode","exposure_phase","method","dependent_measure","participant_design","native_lang","infant_type","group_name_1","group_name_2","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","SD_1","SD_2","t","F","r","d","d_var","corr","test_lang","stimuli_link","data_link","age_range_1","age_range_2","n_excluded_1","n_excluded_2","gender_1","gender_2","num_trials","special_cases_measures","x_dif","SD_dif","contrast_sampa","audio_condition","speaker","speech_type","object_stimulus","cue_type","N_AFC","mean_comprehension_vocab","mean_production_vocab","pointing_modality","motive","correlation_type","condition_type","stimulus_naturalness","contrast_pseudoIPA","sampa_comments","counterbalanced","backness","height","nasality","roundness","tenseness","length","F1_1","F2_1","F1_2","F2_2","duration_word_1","duration_word_2","duration_vowel_1","duration_vowel_2","peripherality","Linguistic","words_to_passage","edge_alignment","familiarization_voice","familiarization_register","familiarization_affect","test_voice","test_register","indexical","rule.type","repetitions","types","tokens","expt_condition2","word_round","word_spiky","multiple_age_groups_younger_older","replication","native","label_present","instruction_code","taxonomic_type","tokens_per_trial","word_types_per_cond","publication_type","main_or_baseline_study","Modality","Semantics","TrainingRule","Speech","Nonspeech","CorrectPronunciation","Mispronunciation","is_correct","n_feature","type_feature","mispron_location","scenarios","Hamlin_Lab","stimuli_type","minimal_pairs","cues_present","word_typicality","ME_trial_type","corr_imputed","dataset","short_name","domain","d_calc","d_var_calc","g_calc","g_var_calc","r_calc","r_var_calc","z_calc","z_var_calc","log_odds_calc","log_odds_var_calc","es_method","mean_age","n","same_infant_calc","all_mod","mean_age_months","year"
"1","Ecklund-Flores1996","Ecklund-Flores, L. and Turkewitz, G. (1996). Asymmetric headturning to speech and nonspeech in human newborns. Developmental Psychobiology 29, 205-217.","Ecklund-Flores & Turkewitz (1996)","yes","CI",1,"speech_vs_heartbeat","ecklund-flores1","behavior","test_only","head-turn preference procedure","pc_head_turns","within_two",NA,"typical",NA,NA,12,NA,1.5,NA,0.33,0.38,0.07,0.09,NA,NA,NA,NA,NA,NA,"native",NA,NA,2,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5471315,"Natural speech preference","SpeechPref","early_language",-0.620173672946042,0.0915037243589743,-0.573660647475089,0.0782928741546474,-0.296174438879546,0.0173685772068419,-0.305320961400044,0.111111111111111,-1.12487061370433,0.301035186883134,"group_means_two",1.5,12,"Ecklund-Flores1996 ecklund-flores1","",0.0492823261257931,"1996"
"2","Ecklund-Flores1996","Ecklund-Flores, L. and Turkewitz, G. (1996). Asymmetric headturning to speech and nonspeech in human newborns. Developmental Psychobiology 29, 205-217.","Ecklund-Flores & Turkewitz (1996)","yes","CI",1,"speech_vs_heartbeat","ecklund-flores1","behavior","test_only","head-turn preference procedure","pc_head_turns","within_two",NA,"typical",NA,NA,12,NA,1.5,NA,0.58,0.38,0.08,0.06,2.53,NA,NA,NA,NA,NA,"native",NA,NA,2,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6855088,"Natural speech preference","SpeechPref","early_language",2.82842712474619,0.385748533333333,2.61629509039023,0.330056088833333,0.816496580927726,0.00357174567901235,1.14621583478059,0.111111111111111,5.13019932064746,1.26906180743348,"group_means_two",1.5,12,"Ecklund-Flores1996 ecklund-flores1","",0.0492823261257931,"1996"
"3","Ecklund-Flores1996","Ecklund-Flores, L. and Turkewitz, G. (1996). Asymmetric headturning to speech and nonspeech in human newborns. Developmental Psychobiology 29, 205-217.","Ecklund-Flores & Turkewitz (1996)","yes","CI",2,"unfiltered_vs_LPfiltered_speech","ecklund-flores2","behavior","test_only","head-turn preference procedure","pc_head_turns","within_two",NA,"typical",NA,NA,12,NA,1.5,NA,0.28,0.28,0.07,0.04,NA,NA,NA,NA,NA,NA,"native",NA,NA,2,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6855088,"Natural speech preference","SpeechPref","early_language",0,0.0524152,0,0.0448477555,0,0.0131038,0,0.111111111111111,0,0.172439096201326,"group_means_two",1.5,12,"Ecklund-Flores1996 ecklund-flores2","",0.0492823261257931,"1996"
"4","Ecklund-Flores1996","Ecklund-Flores, L. and Turkewitz, G. (1996). Asymmetric headturning to speech and nonspeech in human newborns. Developmental Psychobiology 29, 205-217.","Ecklund-Flores & Turkewitz (1996)","yes","CI",2,"unfiltered_vs_LPfiltered_speech","ecklund-flores2","behavior","test_only","head-turn preference procedure","pc_head_turns","within_two",NA,"typical",NA,NA,12,NA,1.5,NA,0.61,0.53,0.09,0.08,NA,NA,NA,NA,NA,NA,"native",NA,NA,2,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6855088,"Natural speech preference","SpeechPref","early_language",0.939552351223525,0.0891968091954023,0.869085924881761,0.0763190198678161,0.425195202762187,0.0122595219368299,0.454016783810253,0.111111111111111,1.70415945731399,0.293445740199357,"group_means_two",1.5,12,"Ecklund-Flores1996 ecklund-flores2","",0.0492823261257931,"1996"
"5","Ecklund-Flores1996","Ecklund-Flores, L. and Turkewitz, G. (1996). Asymmetric headturning to speech and nonspeech in human newborns. Developmental Psychobiology 29, 205-217.","Ecklund-Flores & Turkewitz (1996)","yes","CI",3,"unfiltered vs high-pass filtered speech","ecklund-flores3","behavior","test_only","head-turn preference procedure","pc_head_turns","within_two",NA,"typical",NA,NA,10,NA,1.5,NA,0.38,0.37,0.09,0.08,NA,NA,NA,NA,NA,NA,"native",NA,NA,2,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4269749,"Natural speech preference","SpeechPref","early_language",0.117444043902941,0.115294675172414,0.10643366478704,0.0946902556835937,0.058621038176055,0.0285275375369727,0.0586883259237903,0.142857142857143,0.21301993216425,0.379304277834608,"group_means_two",1.5,10,"Ecklund-Flores1996 ecklund-flores3","",0.0492823261257931,"1996"
"6","Ecklund-Flores1996","Ecklund-Flores, L. and Turkewitz, G. (1996). Asymmetric headturning to speech and nonspeech in human newborns. Developmental Psychobiology 29, 205-217.","Ecklund-Flores & Turkewitz (1996)","yes","CI",3,"unfiltered vs high-pass filtered speech","ecklund-flores3","behavior","test_only","head-turn preference procedure","pc_head_turns","within_two",NA,"typical",NA,NA,10,NA,1.5,NA,0.53,0.4,0.08,0.07,1.57,NA,NA,NA,NA,NA,"native",NA,NA,2,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6855088,"Natural speech preference","SpeechPref","early_language",1.72949427361812,0.212455762123894,1.56735418546642,0.174487593697456,0.654100987054616,0.00994815523482013,0.782433033812408,0.142857142857143,3.13695561393527,0.698951441631592,"group_means_two",1.5,10,"Ecklund-Flores1996 ecklund-flores3","",0.0492823261257931,"1996"
"7","Ecklund-Flores1996","Ecklund-Flores, L. and Turkewitz, G. (1996). Asymmetric headturning to speech and nonspeech in human newborns. Developmental Psychobiology 29, 205-217.","Ecklund-Flores & Turkewitz (1996)","yes","CI",4,"unfiltered vs. band-pass filtered speech","ecklund-flores4","behavior","test_only","head-turn preference procedure","pc_head_turns","within_two",NA,"typical",NA,NA,14,NA,1.5,NA,0.35,0.34,0.07,0.07,NA,NA,NA,NA,NA,NA,"native",NA,NA,2,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4269749,"Natural speech preference","SpeechPref","early_language",0.142857142857142,0.0825895915451895,0.133928571428571,0.0725885081940142,0.0712470499879093,0.0203345638847444,0.0713679718762111,0.0909090909090909,0.259114194890601,0.271708865399525,"group_means_two",1.5,14,"Ecklund-Flores1996 ecklund-flores4","",0.0492823261257931,"1996"
"8","Ecklund-Flores1996","Ecklund-Flores, L. and Turkewitz, G. (1996). Asymmetric headturning to speech and nonspeech in human newborns. Developmental Psychobiology 29, 205-217.","Ecklund-Flores & Turkewitz (1996)","yes","CI",4,"unfiltered vs. band-pass filtered speech","ecklund-flores4","behavior","test_only","head-turn preference procedure","pc_head_turns","within_two",NA,"typical",NA,NA,14,NA,1.5,NA,0.54,0.5,0.05,0.07,NA,NA,NA,NA,NA,NA,"native",NA,NA,2,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6855088,"Natural speech preference","SpeechPref","early_language",0.65759594922143,0.0603713297297298,0.61649620239509,0.0530607390202703,0.312347523777212,0.011092370122314,0.323144613404933,0.0909090909090909,1.19274711462083,0.198613713866719,"group_means_two",1.5,14,"Ecklund-Flores1996 ecklund-flores4","",0.0492823261257931,"1996"
"9","Ecklund-Flores1996","Ecklund-Flores, L. and Turkewitz, G. (1996). Asymmetric headturning to speech and nonspeech in human newborns. Developmental Psychobiology 29, 205-217.","Ecklund-Flores & Turkewitz (1996)","yes","CI",5,"unfiltered vs heartspeech","ecklund-flores5","behavior","test_only","head-turn preference procedure","pc_head_turns","within_two",NA,"typical",NA,NA,11,NA,1.5,NA,0.26,0.24,0.08,0.08,NA,NA,NA,NA,NA,NA,"native",NA,NA,2,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5471315,"Natural speech preference","SpeechPref","early_language",0.25,0.0851806363636364,0.229166666666667,0.0715753958333333,0.124034734589209,0.0203273488747466,0.124676746921443,0.125,0.453449841058555,0.280233061180713,"group_means_two",1.5,11,"Ecklund-Flores1996 ecklund-flores5","",0.0492823261257931,"1996"
"10","Ecklund-Flores1996","Ecklund-Flores, L. and Turkewitz, G. (1996). Asymmetric headturning to speech and nonspeech in human newborns. Developmental Psychobiology 29, 205-217.","Ecklund-Flores & Turkewitz (1996)","yes","CI",5,"unfiltered vs heartspeech","ecklund-flores5","behavior","test_only","head-turn preference procedure","pc_head_turns","within_two",NA,"typical",NA,NA,11,NA,1.5,NA,0.55,0.32,0.08,0.08,2.1,NA,NA,NA,NA,NA,"native",NA,NA,2,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4269749,"Natural speech preference","SpeechPref","early_language",2.875,0.479896609090909,2.63541666666667,0.40324645625,0.820905201785487,0.00416100862136795,1.15958687771424,0.125,5.21467317217338,1.57879656171717,"group_means_two",1.5,11,"Ecklund-Flores1996 ecklund-flores5","",0.0492823261257931,"1996"
