"unique_row","study_ID","long_cite","short_cite","peer_reviewed","coder","expt_num","expt_condition","same_infant","response_mode","exposure_phase","method","dependent_measure","participant_design","native_lang","infant_type","group_name_1","group_name_2","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","SD_1","SD_2","t","F","r","d","d_var","corr","test_lang","stimuli_link","data_link","age_range_1","age_range_2","n_excluded_1","n_excluded_2","gender_1","gender_2","num_trials","special_cases_measures","x_dif","SD_dif","contrast_sampa","audio_condition","speaker","speech_type","object_stimulus","cue_type","N_AFC","mean_comprehension_vocab","mean_production_vocab","pointing_modality","motive","correlation_type","condition_type","stimulus_naturalness","contrast_pseudoIPA","sampa_comments","counterbalanced","backness","height","nasality","roundness","tenseness","length","F1_1","F2_1","F1_2","F2_2","duration_word_1","duration_word_2","duration_vowel_1","duration_vowel_2","peripherality","Linguistic","words_to_passage","edge_alignment","familiarization_voice","familiarization_register","familiarization_affect","test_voice","test_register","indexical","rule.type","repetitions","types","tokens","expt_condition2","word_round","word_spiky","multiple_age_groups_younger_older","replication","native","label_present","instruction_code","taxonomic_type","tokens_per_trial","word_types_per_cond","publication_type","main_or_baseline_study","Modality","Semantics","TrainingRule","Speech","Nonspeech","CorrectPronunciation","Mispronunciation","is_correct","n_feature","type_feature","mispron_location","scenarios","Hamlin_Lab","stimuli_type","minimal_pairs","cues_present","word_typicality","ME_trial_type","preceding","task_difficulty","median_production_vocab","sentence_structure","agent_argument_type","patient_argument_type","stimuli_modality","stimuli_actor","transitive_event","intransitive_event","presentation_type","character_identification","practice_phase","test_mass_or_distributed","n_train_test_pair","n_test_trial_per_pair","n_repetitions_sentence","n_repetitions_video","learning_domain","live_video","task","rhythm_class","speech_manip","percentV","deltaC","deltaV","VarcoV","nPVI_V","rPVI_C","corr_imputed","dataset","short_name","domain","d_calc","d_var_calc","g_calc","g_var_calc","r_calc","r_var_calc","z_calc","z_var_calc","log_odds_calc","log_odds_var_calc","es_method","mean_age","n","same_infant_calc","all_mod","mean_age_months","year"
"1","bahrick88","Bahrick, L. E., & Pickens, J. N. (1988). Classification of bimodal English and Spanish language passages by infants. Infant Behavior and Development, 11(3), 277-296. https://doi.org/10.1016/0163-6383(88)90014-8","Bahrick & Pickens (1988)","yes","LG",1,"1","1","eye-tracking","habituation","central fixation","looking_time","between",NA,"typical (n=26); bilingual (n=22)","language_switch","passage_switch",16,16,163.6,163.6,13.4,7.5,NA,NA,-1.91,NA,NA,NA,NA,NA,NA,NA,NA,17.2,17.2,14.5,14.5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"discrim","diff","none",6.61,6.585,NA,NA,NA,NA,0.741,"Language discrimination and preference","langdiscrim","early_language",-0.675286976033153,0.1321251953125,-0.657822657687468,0.125379504975127,-0.319900687571895,0.0238927656628692,-0.33153647043371,0.0769230769230769,-1.22483508780458,0.434674469717014,"between",163.6,16,"bahrick88 1","",5.37505903611984,NA
"2","bosch97","Bosch, L., & Sebastian-Galles, N. (1997). Native-language recognition abilities in 4-month-old infants from monolingual and bilingual environments. Cognition, 65(1), 33-69. doi: 10.1016/S0010-0277(97)00040-1","Bosch & Sebastian-Galles (1997)","yes","LG",1,"catalan","catalan_1","behavior","test_only","head-turn preference procedure","reaction_time","within_two","yesno","typical","test_lang2","test_lang1",10,NA,129,NA,1.294,1.054,0.153,0.572,-4.62,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,5,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pref","diff","none",1.94784,24.4223,28.79695,17.66969,21.40942,11.08651,0.276,"Language discrimination and preference","langdiscrim","early_language",0.573224335092947,0.161229306917138,0.519484553677983,0.132415866325501,0.275519021283234,0.0318072246817147,0.282826471609567,0.142857142857143,1.03971393455517,0.530423159044656,"group_means_two",129,10,"bosch97 catalan_1","",4.23828004681821,NA
"3","bosch97","Bosch, L., & Sebastian-Galles, N. (1997). Native-language recognition abilities in 4-month-old infants from monolingual and bilingual environments. Cognition, 65(1), 33-69. doi: 10.1016/S0010-0277(97)00040-1","Bosch & Sebastian-Galles (1997)","yes","LG",2,"catalan","catalan_2","behavior","test_only","head-turn preference procedure","reaction_time","within_two","yesno","typical","test_lang2","test_lang1",10,NA,126,NA,1.344,1.173,0.343,0.189,-2.265,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,3.5,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pref","same","none",1.63086,3.12389,3.99183,1.28179,0.43661,22.7,0.069,"Language discrimination and preference","langdiscrim","early_language",0.617505598552218,0.0704046066590242,0.559614448687948,0.0578225333986712,0.295011367831998,0.0133939344679393,0.304046537122943,0.142857142857143,1.12003126206508,0.231621871912957,"group_means_two",126,10,"bosch97 catalan_2","",4.13971539456662,NA
"4","bosch97","Bosch, L., & Sebastian-Galles, N. (1997). Native-language recognition abilities in 4-month-old infants from monolingual and bilingual environments. Cognition, 65(1), 33-69. doi: 10.1016/S0010-0277(97)00040-1","Bosch & Sebastian-Galles (1997)","yes","LG",2,"spanish","spanish_2","behavior","test_only","head-turn preference procedure","reaction_time","within_two","yesno","typical","test_lang2","test_lang1",10,NA,128,NA,1.32,1.164,0.442,0.372,-3.789,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,3.5,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pref","same","none",1.63086,3.12389,3.99183,1.28179,0.43661,22.7,0.754,"Language discrimination and preference","langdiscrim","early_language",0.381882942510222,0.0146210617746771,0.346081416649889,0.0120081181176792,0.187553112310114,0.00328294030038075,0.189799858997157,0.142857142857143,0.692659038336933,0.0481013652133176,"group_means_two",128,10,"bosch97 spanish_2","",4.20542516273435,NA
"5","bosch97","Bosch, L., & Sebastian-Galles, N. (1997). Native-language recognition abilities in 4-month-old infants from monolingual and bilingual environments. Cognition, 65(1), 33-69. doi: 10.1016/S0010-0277(97)00040-1","Bosch & Sebastian-Galles (1997)","yes","LG",3,"catalan","catalan_3","behavior","test_only","head-turn preference procedure","reaction_time","within_two","yesno","typical","test_lang2","test_lang1",10,NA,125,NA,1.393,1.302,0.363,0.378,-2.877,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,4.5,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pref","same","segmental",1.63086,3.12389,3.99183,1.28179,0.43661,22.7,0.264,"Language discrimination and preference","langdiscrim","early_language",0.245563727228249,0.0101423942021406,0.2225421278006,0.00832983742578147,0.121866705982155,0.0024242957715146,0.122475440515263,0.142857142857143,0.445403332325582,0.03336713948501,"group_means_two",125,10,"bosch97 catalan_3","",4.10686051048276,NA
"6","bosch97","Bosch, L., & Sebastian-Galles, N. (1997). Native-language recognition abilities in 4-month-old infants from monolingual and bilingual environments. Cognition, 65(1), 33-69. doi: 10.1016/S0010-0277(97)00040-1","Bosch & Sebastian-Galles (1997)","yes","LG",3,"spanish","spanish_3","behavior","test_only","head-turn preference procedure","reaction_time","within_two","yesno","typical","test_lang2","test_lang1",10,NA,127,NA,1.468,1.301,0.196,0.183,-4.434,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,4.5,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pref","same","segmental",1.63086,3.12389,3.99183,1.28179,0.43661,22.7,0.78,"Language discrimination and preference","langdiscrim","early_language",0.880748523245316,0.0778636255267213,0.798178349191067,0.063948544011692,0.403025558294169,0.0114376971205725,0.427255997780795,0.142857142857143,1.59750111151258,0.256161060394434,"group_means_two",127,10,"bosch97 spanish_3","",4.17257027865049,NA
"7","bosch97","Bosch, L., & Sebastian-Galles, N. (1997). Native-language recognition abilities in 4-month-old infants from monolingual and bilingual environments. Cognition, 65(1), 33-69. doi: 10.1016/S0010-0277(97)00040-1","Bosch & Sebastian-Galles (1997)","yes","LG",4.1,"catalan","catalan_4.1","behavior","test_only","head-turn preference procedure","reaction_time","within_two","yesno","bilingual","test_lang2","test_lang1",10,NA,127,NA,1.454,1.597,0.508,0.498,4.62,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pref","diff","none",1.94784,24.4223,28.79695,17.66969,21.40942,11.08651,0.2615853,"Language discrimination and preference","langdiscrim","early_language",-0.284280189975068,0.00778823106819122,-0.257628922164906,0.00639638899252814,-0.140725607293001,0.00183365664992659,-0.141665766419095,0.142857142857143,-0.515627227841161,0.025622253209107,"group_means_two",127,10,"bosch97 catalan_4.1","",4.17257027865049,NA
"8","bosch97","Bosch, L., & Sebastian-Galles, N. (1997). Native-language recognition abilities in 4-month-old infants from monolingual and bilingual environments. Cognition, 65(1), 33-69. doi: 10.1016/S0010-0277(97)00040-1","Bosch & Sebastian-Galles (1997)","yes","LG",4.2,"4.2","4.2","behavior","test_only","head-turn preference procedure","reaction_time","within_two","yesno","bilingual","test_lang2","test_lang1",10,NA,134,NA,1.291,1.311,0.325,0.324,1.205,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,3,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pref","same","none",1.63086,3.12389,3.99183,1.28179,0.43661,22.7,0.777,"Language discrimination and preference","langdiscrim","early_language",-0.0616332088086541,0.00280510214273761,-0.0558550954828428,0.00230379970902571,-0.0308019821220417,0.000699281397888707,-0.0308117289221882,0.142857142857143,-0.111790274952852,0.00922841615115609,"group_means_two",134,10,"bosch97 4.2","",4.40255446723752,NA
"9","bosch97","Bosch, L., & Sebastian-Galles, N. (1997). Native-language recognition abilities in 4-month-old infants from monolingual and bilingual environments. Cognition, 65(1), 33-69. doi: 10.1016/S0010-0277(97)00040-1","Bosch & Sebastian-Galles (1997)","yes","LG",5,"catalan","catalan_5","behavior","test_only","head-turn preference procedure","reaction_time","within_two","yesno","bilingual","test_lang2","test_lang1",10,NA,135,NA,1.292,1.445,0.326,0.451,2.55,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,3,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pref","same","none",1.15714,13.4314,13.72438,15.72798,10.40697,4.37643,0.16,"Language discrimination and preference","langdiscrim","early_language",-0.388823005656077,0.0214172596127571,-0.35237084887582,0.0175897610686804,-0.190838500856216,0.00479035989515585,-0.193207217647495,0.142857142857143,-0.70524692045863,0.0704599599111138,"group_means_two",135,10,"bosch97 catalan_5","",4.43540935132138,NA
"10","bosch01a","Bosch, L., Cortés, C., & Sebastian-Galles, N. (2001). El reconocimiento temprano de la lengua materna: Un estudio basado en la voz masculina [Early native-language recognition capacities: A study based on male-voices]. Infancia y Aprendizaje, 24(2), 197-213. https://doi.org/10.1174/021037001316920735","Bosch et al. (2001)","yes","LG",1,"catalan","catalan","behavior","test_only","head-turn preference procedure","reaction_time","within_two","yesno","typical","test_lang2","test_lang1",10,NA,147,NA,1.523,1.299,NA,NA,-3.568,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,1,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IDS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pref","same","none",1.63086,3.12389,3.99183,1.28179,0.43661,22.7,0.495,"Language discrimination and preference","langdiscrim","early_language",-1.13392813881657,0.1652896512,-1.02762237580251,0.135750582675,-0.493208390085989,0.0179075093065063,-0.540291236300595,0.142857142857143,-2.05671813727278,0.543781156312682,"t_two",147,10,"bosch01a catalan","",4.82966796032773,NA
